,0,1,2
856,Michigan,Ontonagon,4853.175798147022
1643,Texas,Milam,1241.8673651855552
1053,Missouri,Vernon,-838.3925270654631
1384,South Carolina,Williamsburg,3704.5297868922207
250,Georgia,Coffee,-617.959811270317
1753,Utah,Summit,5562.895605436021
803,Michigan,Calhoun,921.734186869634
1596,Texas,Irion,1203.8986431930916
1591,Texas,Houston,-2449.94339448415
1516,Texas,Cherokee,1569.8845290038207
114,Arkansas,Jefferson,352.2087120112119
1541,Texas,De Witt,446.09345233037766
1014,Missouri,McDonald,1559.4422770504107
804,Michigan,Cass,1616.3782690480548
687,Kentucky,Martin,2127.579350346259
534,Iowa,Clayton,7679.151423511303
1004,Missouri,Lafayette,-490.4464027014178
1105,North Carolina,Davie,45254.614761025055
1060,Nevada,Carson City,1244.7762991050313
1517,Texas,Childress,390.9827537828769
1387,Tennessee,Bedford,2854.0893391668687
1681,Texas,San Jacinto,2145.7966172130573
49,Alabama,Montgomery,-887.9285857570853
1551,Texas,Erath,2112.7014213433076
1833,Virginia,New Kent,3147.1662786741626
238,Georgia,Carroll,-1082.048577763493
1237,Ohio,Ottawa,2361.6300163415226
1721,Texas,Wilbarger,3948.0154758704603
441,Illinois,Franklin,1596.4503601758142
1474,Tennessee,Washington,1297.3770597505127
853,Michigan,Oakland,718.1918730113794
1088,North Carolina,Burke,140.85549320343307
1724,Texas,Wilson,483.9675624253123
813,Michigan,Eaton,2324.0099473309783
1611,Texas,Kerr,-879.8353366712627
393,Idaho,Custer,5017.299868532433
1850,Virginia,Roanoke,2332.811880591279
206,Florida,Santa Rosa,2305.7854441429
766,Louisiana,Pointe Coupee,-915.4180960642088
197,Florida,Nassau,2354.9992108343176
748,Louisiana,East Feliciana,3416.0062703540034
83,Arkansas,Benton,3333.779415145581
1770,Vermont,Windham,10804.776387341426
1070,Nevada,Lyon,3960.2676903444135
1397,Tennessee,Chester,1167.0076787418857
1843,Virginia,Powhatan,-1068.57168086592
608,Iowa,Woodbury,478.55489523508186
71,Arizona,La Paz,1058.363665941626
1092,North Carolina,Carteret,1157.7362298774497
1484,Texas,Archer,2433.8768971907894
1343,South Carolina,Anderson,1043.4212558877525
1366,South Carolina,Jasper,3145.6783325825236
562,Iowa,Jasper,703.4668203584115
1116,North Carolina,Guilford,1872.025105056894
116,Arkansas,Lafayette,7394.6877103731
1528,Texas,Cooke,10645.204932130062
1660,Texas,Panola,-359.75820376353477
1289,Oklahoma,Grady,1035.8531685352154
30,Alabama,Greene,-149.99482006071185
860,Michigan,Ottawa,954.4627593713503
547,Iowa,Franklin,4864.446307111637
1183,Ohio,Brown,6587.74467425024
1606,Texas,Karnes,1287.239794297976
937,Mississippi,Tallahatchie,4569.436014518316
1667,Texas,Rains,4790.5568231963625
378,Idaho,Bear Lake,985.7323927975167
1697,Texas,Tarrant,1935.3352663391897
311,Georgia,Marion,112.71676053530791
344,Georgia,Sumter,1221.0566914548854
1301,Oklahoma,Kiowa,1030.4704578571918
1499,Texas,Brazoria,1794.9884705177901
149,Arkansas,Van Buren,1458.603447527119
894,Mississippi,Harrison,-383.5272516703376
1430,Tennessee,Johnson,-216.92119526608258
1574,Texas,Hall,-389.685487464536
1356,South Carolina,Dillon,-861.3743293827147
969,Missouri,Carter,-595.7999989800983
1821,Virginia,King William,3231.625827001094
964,Missouri,Caldwell,1896.030250071517
87,Arkansas,Carroll,208.916494856614
558,Iowa,Humboldt,1107.7766768645233
529,Iowa,Cerro Gordo,13404.938423464791
331,Georgia,Pulaski,4256.501764959978
1822,Virginia,Lancaster,3083.634746180511
398,Idaho,Gooding,2001.5078679895814
74,Arizona,Navajo,1966.7618440497818
872,Mississippi,Adams,711.525018270705
59,Alabama,Tallapoosa,-538.6794205341876
136,Arkansas,Polk,-1125.3862531124823
1065,Nevada,Esmeralda,1266.8386612530485
1613,Texas,King,526.1995420015865
1583,Texas,Hays,3444.5617021151575
1475,Tennessee,Wayne,1154.2057663464911
1479,Tennessee,Wilson,2847.4762139717604
740,Louisiana,Calcasieu,3172.857851496484
1457,Tennessee,Roane,2844.564474412092
139,Arkansas,Pulaski,773.6241276774836
1165,North Carolina,Union,1065.7470336439583
1052,Missouri,Texas,2152.320626194387
1314,Oklahoma,Noble,1600.1931494060336
421,Illinois,Boone,1735.7310972939704
987,Missouri,Gasconade,3215.9046870408247
923,Mississippi,Panola,8201.694422197812
935,Mississippi,Stone,1023.6209523073294
1807,Virginia,Goochland,-394.9801128885956
1470,Tennessee,Unicoi,3854.094197212962
645,Kentucky,Fleming,1424.9445141528895
1295,Oklahoma,Hughes,1782.2106753273802
457,Illinois,Kane,577.4035067243158
1573,Texas,Hale,1024.525298134845
61,Alabama,Walker,1406.2554853949941
94,Arkansas,Conway,17255.778397996994
481,Illinois,Moultrie,27649.381102769534
371,Georgia,Wilcox,9442.957643718573
631,Kentucky,Carroll,8406.342645776918
915,Mississippi,Marion,2627.991442480543
1090,North Carolina,Caldwell,750.8359379320891
549,Iowa,Greene,984.0110964052201
515,Iowa,Allamakee,2638.745658852905
1369,South Carolina,Laurens,1366.8887021490063
756,Louisiana,Lafayette,-1469.68979553002
664,Kentucky,Hopkins,1178.6544827449688
859,Michigan,Otsego,1405.7369925238072
700,Kentucky,Nelson,3101.3399658681556
1119,North Carolina,Haywood,5769.333477252518
999,Missouri,Jasper,6002.890241295479
877,Mississippi,Bolivar,859.8224149335174
1040,Missouri,Reynolds,-698.5935229967399
1612,Texas,Kimble,3012.0898774909747
1619,Texas,Lampasas,16275.770126067557
269,Georgia,Evans,2045.316790461793
203,Florida,Pinellas,2517.028408202884
916,Mississippi,Marshall,4461.001651262519
1485,Texas,Armstrong,32644.78417113242
1663,Texas,Pecos,10823.287200701347
1526,Texas,Comanche,2131.143706577169
945,Mississippi,Washington,2684.2795382440418
1021,Missouri,Morgan,-1681.6584118878727
9,Alabama,Cherokee,2616.9910109127604
1025,Missouri,Oregon,4517.897188879137
739,Louisiana,Caddo,2130.8837782281216
1762,Vermont,Bennington,16373.55183478132
1003,Missouri,LaClede,2210.1295663521596
770,Louisiana,Sabine,1373.3858319493183
1691,Texas,Starr,169.4943843728588
1684,Texas,Schleicher,3295.305378422502
93,Arkansas,Columbia,4378.579242854345
1622,Texas,Leon,418.3005151515699
300,Georgia,Lamar,958.0808200369884
1362,South Carolina,Greenville,-212.69609396177293
406,Idaho,Madison,998.7589498141424
1585,Texas,Henderson,207.24468710713336
1233,Ohio,Morgan,-236.97567418388417
202,Florida,Pasco,2205.9757092224772
855,Michigan,Ogemaw,1517.8188945952897
1200,Ohio,Franklin,301.92083887218905
292,Georgia,Irwin,2229.344656111737
595,Iowa,Sioux,4738.929967247292
1299,Oklahoma,Kay,5698.123388970238
1890,New York,Nassau,2159.205544448868
1520,Texas,Coke,76897.09768623296
1149,North Carolina,Pitt,719.3772475475216
1462,Tennessee,Sevier,69.55728454804739
627,Kentucky,Caldwell,2353.816584037266
594,Iowa,Shelby,5098.680852366262
832,Michigan,Keweenaw,2273.18299045218
67,Arizona,Coconino,20242.510381362714
992,Missouri,Henry,3722.827836944025
314,Georgia,Meriwether,904.160848959872
1186,Ohio,Champaign,3618.5777712108147
1203,Ohio,Geauga,6774.810756015155
540,Iowa,Delaware,-73.67934190859978
809,Michigan,Clinton,988.7626353010337
1511,Texas,Camp,14803.77582774754
479,Illinois,Montgomery,297.535971508627
1790,Virginia,Charlotte,4049.129740605571
