,0,1,2
1771,Vermont,Windsor,1305.1792804866263
917,Mississippi,Monroe,-423.627336784778
1266,Oklahoma,Atoka,549.1642714013688
759,Louisiana,Livingston,1587.3804963180864
1622,Texas,Leon,3268.434376928778
509,Illinois,Will,4964.355946875964
1781,Virginia,Bland,1512.897377919644
1562,Texas,Gaines,2277.46673131051
979,Missouri,Crawford,1047.5816168055053
167,Florida,Duval,267.6206978784894
1629,Texas,Lubbock,-196.3070709028716
105,Arkansas,Garland,9714.61123218686
1173,North Carolina,Wilson,5051.33137685069
259,Georgia,Decatur,1490.4801871231411
272,Georgia,Floyd,651.5777837544856
884,Mississippi,Clay,2414.1079555651377
1254,Ohio,Tuscarawas,1422.6160266504003
503,Illinois,Wabash,-177.30351111516302
82,Arkansas,Baxter,1700.8007522454845
1860,Virginia,Suffolk,262.9625617969141
434,Illinois,Cumberland,9744.558809764407
1280,Oklahoma,Cotton,5341.5034047924155
587,Iowa,Pocahontas,402.5398134890802
1350,South Carolina,Cherokee,1082.2937836283036
1077,North Carolina,Alamance,1192.9546552578022
1385,South Carolina,York,1455.1082354807559
812,Michigan,Dickinson,1999.7533014673263
1825,Virginia,Louisa,1584.5728170168823
26,Alabama,Etowah,12346.147788061495
1289,Oklahoma,Grady,1181.775628865872
1370,South Carolina,Lee,-161.54009746844167
198,Florida,Okeechobee,1197.4587462246536
957,Missouri,Barton,2117.820909109423
1159,North Carolina,Stanly,1780.6847038969863
1346,South Carolina,Beaufort,3588.888754081884
675,Kentucky,Lee,517.0198016229888
1261,Ohio,Williams,1433.1429685833891
422,Illinois,Brown,661.478103184907
1053,Missouri,Vernon,2746.725157754682
632,Kentucky,Carter,10607.232255735511
172,Florida,Gilchrist,2171.777935964131
411,Idaho,Payette,-469.1158287077351
282,Georgia,Gwinnett,1077.1797358371905
891,Mississippi,Greene,16505.531138852348
283,Georgia,Habersham,1706.49516742195
967,Missouri,Cape Girardeau,2797.300916417352
1316,Oklahoma,Okfuskee,926.6566029719752
1104,North Carolina,Davidson,2479.047409013522
55,Alabama,Russell,857.5330946245622
778,Louisiana,Webster,507.3380139760011
207,Florida,Sarasota,746.6776328148853
770,Louisiana,Sabine,10491.052329013619
25,Alabama,Escambia,1867.5388696026985
678,Kentucky,Lewis,546.7830757367947
755,Louisiana,Jefferson,-1506.4177268809522
1276,Oklahoma,Cimarron,3301.3906436571715
1125,North Carolina,Jackson,789.4966873596295
816,Michigan,Gladwin,-243.67532993732038
577,Iowa,Mills,15459.154156138906
543,Iowa,Dubuque,902.6578218991481
947,Mississippi,Webster,1250.7720460798491
869,Michigan,Washtenaw,4754.082961037954
955,Missouri,Audrain,1729.0405561608159
1520,Texas,Coke,68.2418654787607
1193,Ohio,Cuyahoga,1627.3353749035405
1429,Tennessee,Jefferson,7918.348026838729
1446,Tennessee,Monroe,2558.577148682999
1167,North Carolina,Wake,27168.686222654986
921,Mississippi,Noxubee,11769.932153221878
1402,Tennessee,Crockett,2520.1950241616405
202,Florida,Pasco,1380.7992102473372
114,Arkansas,Jefferson,-1058.500894087495
1061,Nevada,Churchill,6635.516591229675
1369,South Carolina,Laurens,685.5238118829811
746,Louisiana,East Baton Rouge,900.6529470616151
965,Missouri,Callaway,598.1034461831632
41,Alabama,Lowndes,1465.4810354508763
729,Kentucky,Wolfe,4757.98077987421
1302,Oklahoma,Latimer,1344.3994209855
1651,Texas,Nacogdoches,2249.674501890203
305,Georgia,Lincoln,2175.8342728373054
44,Alabama,Marengo,1421.7917149798977
1180,Ohio,Athens,646.1019836944761
767,Louisiana,Rapides,9210.882839475737
1650,Texas,Motley,2955.1721939816643
1138,North Carolina,Moore,3056.5506797118824
227,Georgia,Bibb,1933.1129018171187
1694,Texas,Stonewall,17.139238566333916
1790,Virginia,Charlotte,1380.2815292010773
904,Mississippi,Kemper,-275.1494112436385
245,Georgia,Clarke,2308.6104252107743
1024,Missouri,Nodaway,1524.152314814456
1646,Texas,Montague,1382.3613862092661
466,Illinois,Macon,5637.364592533476
1069,Nevada,Lincoln,729.1385257574912
453,Illinois,Jasper,5078.531814641709
1317,Oklahoma,Oklahoma,12013.83956107666
85,Arkansas,Bradley,4312.83308775603
220,Georgia,Baker,3586.223043523164
865,Michigan,Schoolcraft,2046.4933995353013
1118,North Carolina,Harnett,2351.6505966133464
1605,Texas,Jones,1745.0361159084177
1209,Ohio,Harrison,2604.8559769949597
814,Michigan,Emmet,-40.812593422850114
529,Iowa,Cerro Gordo,1599.1950072186992
792,Michigan,Alger,7703.354378915504
1291,Oklahoma,Greer,5176.6439588958465
717,Kentucky,Simpson,14348.54561059147
127,Arkansas,Monroe,22.946468718005235
1534,Texas,Culberson,-5.27707198931148
1379,South Carolina,Richland,742.5497212086675
278,Georgia,Glynn,198.44941361450856
1184,Ohio,Butler,1342.826092837132
1644,Texas,Mills,948.6957846192336
843,Michigan,Mason,614.370751463126
1624,Texas,Limestone,-423.0674226506462
71,Arizona,La Paz,7584.503673061362
91,Arkansas,Cleburne,9729.45702165621
1108,North Carolina,Edgecombe,1555.6764616400606
1062,Nevada,Clark,183.45453964820717
1099,North Carolina,Cleveland,1466.1631393628622
769,Louisiana,Richland,2102.4576624658266
656,Kentucky,Hancock,5303.4851850590485
384,Idaho,Bonneville,1104.2760348848906
1375,South Carolina,Newberry,2751.6417229287317
644,Kentucky,Fayette,1544.3005452663156
1474,Tennessee,Washington,1448.7034899063874
64,Alabama,Winston,535.3750454760657
399,Idaho,Jefferson,3865.8563647563033
471,Illinois,Mason,-1387.041132051409
1098,North Carolina,Clay,912.9449458738509
252,Georgia,Columbia,588.4536265680254
1161,North Carolina,Surry,-805.2276454221001
1715,Texas,Ward,5089.825251295256
1536,Texas,Dallas,9007.841129661047
1076,Nevada,White Pine,2.2853454928563224
458,Illinois,Kankakee,26547.10927932525
49,Alabama,Montgomery,-763.8323623783554
1344,South Carolina,Bamberg,3542.156563464613
1352,South Carolina,Chesterfield,1808.9923364462657
16,Alabama,Colbert,3417.5260267367275
1028,Missouri,Pemiscot,489.837152260071
1283,Oklahoma,Custer,2.8371173622335846
1839,Virginia,Orange,-155.45873025402489
1057,Missouri,Webster,3839.4870011768553
1461,Tennessee,Sequatchie,2634.411890726018
648,Kentucky,Fulton,293.11469252668394
636,Kentucky,Clay,1246.5712348580673
1691,Texas,Starr,742.8644883568695
1796,Virginia,Dickenson,-341.7130007751166
669,Kentucky,Kenton,918.967295571947
1594,Texas,Hunt,16167.485261794336
1251,Ohio,Stark,1441.2522826850181
985,Missouri,Dunklin,8112.55214133436
1185,Ohio,Carroll,2248.6033945086147
972,Missouri,Chariton,2255.2931284832894
989,Missouri,Greene,681.8486855674382
307,Georgia,Lowndes,-68.11531957117677
505,Illinois,Washington,15527.417751446097
773,Louisiana,Terrebonne,839.0634009845644
946,Mississippi,Wayne,1116.0576916568607
1068,Nevada,Lander,2676.38876121304
1137,North Carolina,Montgomery,182.58157538424894
617,Kentucky,Bell,1348.1290961983368
400,Idaho,Jerome,210.9143199223863
978,Missouri,Cooper,2743.902749018699
532,Iowa,Clarke,427.4060835912751
1000,Missouri,Jefferson,7641.843519778916
1042,Missouri,Saline,1740.177453557294
1575,Texas,Hamilton,-163.6866424854279
1879,New Hampshire,Strafford,8300.922412873817
515,Iowa,Allamakee,-102.30866461758069
1177,Ohio,Allen,12196.244594799424
1687,Texas,Shelby,790.6613370120358
1599,Texas,Jasper,1020.7956851850331
1504,Texas,Brown,2850.753353031847
1607,Texas,Kaufman,1503.8332135143646
1591,Texas,Houston,1346.0297845276455
714,Kentucky,Russell,1216.8980194891847
1683,Texas,San Saba,154.3459104924823
1140,North Carolina,New Hanover,1032.2260738234772
1086,North Carolina,Brunswick,248.46296000477105
1277,Oklahoma,Cleveland,2926.9097955594534
558,Iowa,Humboldt,6366.085603998729
522,Iowa,Buchanan,1342.9864838685671
1832,Virginia,Nelson,3472.558728083467
540,Iowa,Delaware,-768.7033951523663
1373,South Carolina,Marlboro,1807.3969717411883
1272,Oklahoma,Canadian,1116.221000134493
912,Mississippi,Lincoln,1280.6651650000022
229,Georgia,Brantley,3099.131526650296
22,Alabama,Dale,1947.0075565149791
1322,Oklahoma,Payne,544.1848181858632
1085,North Carolina,Bladen,1109.0983883590288
834,Michigan,Lapeer,1464.6343283802717
640,Kentucky,Daviess,7664.329941867497
929,Mississippi,Quitman,-598.0846173174014
1462,Tennessee,Sevier,-595.5748062988523
1585,Texas,Henderson,5970.905161499838
1593,Texas,Hudspeth,7096.938158215681
1486,Texas,Atascosa,3069.644983699166
