,state,county,votes,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,score
1674,Texas,Llano,267,19510,19301,1.1,19301,4.3,15.5,33.9,51.7,96.0,1.3,0.9,0.6,0.0,1.2,9.8,87.1,86.8,2.7,6.3,86.7,25.4,2750,23.7,14734,78.0,14.1,159000,8519,2.23,33634,44094,14.1,434,3529,7.1,2037,2875,0.0,0.0,0.0,0.0,0.0,0.0,0,94883,113011,6183,61053,202,934.03,20.7,44031.75
1675,Texas,Loving,5,86,82,4.9,82,9.3,30.2,15.1,41.9,96.5,0.0,3.5,0.0,0.0,0.0,20.9,75.6,83.9,0.0,0.0,89.5,7.9,2,24.5,50,48.5,4.8,86000,33,2.64,34068,68750,12.0,2,0,0.0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,668.93,0.1,44031.75
1676,Texas,Lubbock,4112,293974,278831,5.4,278831,6.8,24.2,11.8,50.6,87.0,7.8,1.1,2.3,0.1,1.7,34.0,55.2,75.1,5.6,21.8,84.4,27.9,15832,16.0,121098,58.5,24.5,108700,105277,2.57,23773,44397,20.4,6918,107329,1.6,19619,23670,2.1,0.7,2.0,0.0,12.8,23.1,0,3707401,3924861,14929,0,2128,895.6,311.3,44031.75
1677,Texas,Lynn,10,5771,5915,-2.4,5915,7.1,27.3,15.8,49.6,93.4,2.5,1.9,0.3,0.0,1.9,47.7,48.8,86.6,7.4,34.8,76.1,17.7,260,19.7,2675,71.4,6.6,70200,2179,2.63,21639,44375,20.2,85,632,-1.6,352,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19743,3415,795,3,891.87,6.6,44031.75
1678,Texas,Madison,69,13861,13667,1.4,13664,5.7,21.5,14.7,42.0,76.0,20.3,1.1,0.8,0.0,1.7,22.2,56.0,86.8,5.9,18.3,78.8,12.5,874,26.7,5182,71.7,4.3,94200,3743,2.72,15131,41732,25.2,224,2826,17.0,960,0,0.0,0.0,0.0,0.0,0.0,0.0,0,31907,178851,13503,13114,4,466.07,29.3,44031.75
1679,Texas,Marion,123,10149,10536,-3.7,10546,4.5,18.4,23.6,51.1,73.9,22.2,1.1,0.7,0.0,2.0,4.1,70.7,89.4,1.4,4.8,81.0,12.2,1205,29.5,6245,74.9,5.0,72900,4563,2.26,20337,31967,23.2,154,1357,7.1,715,824,0.0,0.0,0.0,0.0,0.0,0.0,0,5546,66344,6230,5753,2,380.88,27.7,44031.75
1680,Texas,Martin,17,5460,4799,13.8,4799,8.9,30.2,12.2,50.2,94.7,2.3,1.3,0.3,0.1,1.2,45.6,51.1,85.2,11.8,29.4,70.1,10.9,236,18.2,1863,74.8,4.5,72200,1555,3.13,20859,42607,15.8,99,1104,9.9,383,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24422,45368,10274,0,3,914.94,5.2,44031.75
1681,Texas,Mason,50,4071,4012,1.5,4012,4.1,20.1,27.4,50.3,96.9,1.0,0.6,0.2,0.2,0.9,23.8,74.3,90.1,8.3,17.0,82.0,26.5,414,17.9,2747,83.0,2.8,170100,1699,2.37,27504,46865,13.6,134,828,0.2,566,827,0.0,0.0,0.0,0.0,0.0,0.0,0,41336,28978,7426,3659,4,928.8,4.3,44031.75
1682,Texas,Matagorda,344,36519,36702,-0.5,36702,7.1,25.5,15.8,50.2,83.5,11.5,1.3,2.2,0.1,1.4,40.4,45.7,90.7,10.7,28.0,78.1,14.5,2636,22.7,19013,70.2,13.7,92000,13260,2.72,23389,43096,21.1,730,7902,-6.4,2561,2943,0.0,0.0,0.0,0.0,0.0,23.0,0,0,313945,8547,38800,222,1100.28,33.4,44031.75
1683,Texas,Maverick,1508,57023,54258,5.1,54258,9.0,31.9,11.4,50.6,96.9,0.6,1.5,0.5,0.0,0.4,95.1,3.1,89.2,34.9,94.2,56.6,12.2,1159,20.3,18034,71.1,15.7,86300,15714,3.45,13668,31395,30.5,771,11360,-0.3,4427,4417,0.0,0.0,0.0,0.0,78.0,0.0,0,0,504755,9897,48530,99,1279.26,42.4,44031.75
