sn,neg,neu,pos,compound
158,0.093,0.811,0.097,0.0258
159,0.19,0.581,0.229,0.296
159,0,1,0,0
160,0.103,0.897,0,-0.1531
161,0.378,0.622,0,-0.4648
161,0.176,0.695,0.128,-0.2263
162,0.183,0.817,0,-0.6908
162,0,1,0,0
163,0.19,0.581,0.229,0.296
163,0,1,0,0
164,0.118,0.882,0,-0.1531
165,0,1,0,0
165,0.268,0.732,0,-0.296
166,0.19,0.581,0.229,0.296
166,0,1,0,0
167,0,0.813,0.187,0.3182
168,0,1,0,0
169,0,1,0,0
170,0.13,0.87,0,-0.2023
170,0,1,0,0
171,0,0.748,0.252,0.5719
171,0.173,0.827,0,-0.3182
172,0,1,0,0
172,0.268,0.732,0,-0.296
173,0,0.748,0.252,0.4019
173,0,1,0,0
173,0,0.707,0.293,0.4404
174,0,1,0,0
175,0,0.828,0.172,0.4404
176,0,0.828,0.172,0.4404
177,0,1,0,0
178,0,0.828,0.172,0.4404
179,0,1,0,0
180,0,1,0,0
181,0,0.828,0.172,0.4404
182,0,1,0,0
182,0.268,0.732,0,-0.296
183,0.125,0.67,0.205,0.2023
184,0,1,0,0
184,0.268,0.732,0,-0.296
185,0,0.828,0.172,0.4404
186,0.19,0.581,0.229,0.296
186,0,1,0,0
187,0,0.828,0.172,0.4404
188,0,1,0,0
189,0.19,0.581,0.229,0.296
189,0,1,0,0
190,0.16,0.84,0,-0.2732
190,0,1,0,0
190,0.423,0.577,0,-0.296
190,0.697,0.303,0,-0.3182
191,0,1,0,0
191,0,0.682,0.318,0.4215
192,0,1,0,0
193,0,1,0,0
193,0.268,0.732,0,-0.296
194,0,0.857,0.143,0.3612
195,0,1,0,0
195,0,0.707,0.293,0.8271
196,0,0.517,0.483,0.6808
196,0,0.4,0.6,0.7184
196,0,1,0,0
197,0.19,0.581,0.229,0.296
197,0,1,0,0
198,0,1,0,0
199,0,1,0,0
200,0,0.828,0.172,0.4404
201,0.185,0.815,0,-0.0941
201,0.255,0.745,0,-0.3382
201,0,1,0,0
201,0.714,0.286,0,-0.3595
202,0,1,0,0
203,0.19,0.581,0.229,0.296
203,0,1,0,0
204,0.19,0.581,0.229,0.296
204,0,1,0,0
205,0,1,0,0
206,0.19,0.581,0.229,0.296
206,0,1,0,0
207,0.19,0.581,0.229,0.296
207,0,1,0,0
208,0.19,0.581,0.229,0.296
208,0,1,0,0
209,0,0.828,0.172,0.4404
210,0.19,0.581,0.229,0.296
210,0,1,0,0
211,0.19,0.581,0.229,0.296
211,0,1,0,0
212,0.19,0.581,0.229,0.296
212,0,1,0,0
213,0.419,0.581,0,-0.8957
214,0.19,0.581,0.229,0.296
214,0,1,0,0
215,0,1,0,0
216,0,0.828,0.172,0.4404
217,0.19,0.581,0.229,0.296
217,0,1,0,0
218,0.18,0.82,0,-0.4076
218,0,0.294,0.706,0.5848
219,0,0.828,0.172,0.4404
220,0,1,0,0
220,0.34,0.66,0,-0.6841
220,1,0,0,-0.5267
221,0,0.828,0.172,0.4404
222,0,0.828,0.172,0.4404
223,0,0.828,0.172,0.4404
224,0,0.664,0.336,0.9129
225,0,1,0,0
225,0,0.71,0.29,0.8398
226,0,0.828,0.172,0.4404
227,0,0.805,0.195,0.4404
228,0.19,0.581,0.229,0.296
228,0,1,0,0
229,0.19,0.581,0.229,0.296
229,0,1,0,0
230,0.13,0.87,0,-0.34
231,0.292,0.708,0,-0.5106
231,0.286,0.714,0,-0.1531
231,0.259,0.741,0,-0.2732
231,0.508,0.492,0,-0.4767
232,0.056,0.808,0.135,0.5023
233,0.19,0.581,0.229,0.296
233,0,1,0,0
234,0.109,0.891,0,-0.296
235,0,1,0,0
236,0,1,0,0
236,0,0.752,0.248,0.5106
236,0,0,0,0
237,0.19,0.581,0.229,0.296
237,0,1,0,0
238,0,1,0,0
238,0,0.752,0.248,0.5106
238,0,0,0,0
239,0,1,0,0
239,0,0,0,0
240,0,1,0,0
240,0,0.752,0.248,0.5106
240,0,0,0,0
241,0.183,0.817,0,-0.6908
241,0,1,0,0
242,0,1,0,0
243,0.183,0.817,0,-0.6908
243,0,1,0,0
244,0.19,0.581,0.229,0.296
244,0,1,0,0
245,0.056,0.808,0.135,0.5023
246,0.19,0.581,0.229,0.296
246,0,1,0,0
247,0.403,0.597,0,-0.8957
248,0,0.945,0.055,0.0258
248,0,0.577,0.423,0.296
249,0.19,0.581,0.229,0.296
249,0,1,0,0
250,0,0.839,0.161,0.3612
250,0,1,0,0
251,0,0.448,0.552,0.5719
251,0.221,0.517,0.262,0.2732
252,0,0.737,0.263,0.6124
252,0,1,0,0
253,0.196,0.804,0,-0.296
253,0,1,0,0
254,0.19,0.581,0.229,0.296
254,0,1,0,0
255,0.19,0.581,0.229,0.296
255,0,1,0,0
256,0.279,0.721,0,-0.8458
256,0,0,0,0
257,0.19,0.581,0.229,0.296
257,0,1,0,0
258,0,1,0,0
258,0,0.752,0.248,0.5106
258,0,0,0,0
259,0,0.448,0.552,0.5719
259,0.221,0.517,0.262,0.2732
260,0,0.448,0.552,0.5719
260,0.221,0.517,0.262,0.2732
261,0.19,0.581,0.229,0.296
261,0,1,0,0
262,0,1,0,0
262,0,0.752,0.248,0.5106
262,0,0,0,0
263,0,1,0,0
263,0,0.752,0.248,0.5106
263,0,0,0,0
264,0,0.743,0.257,0.6369
264,0,0.566,0.434,0.3182
265,0.19,0.581,0.229,0.296
265,0,1,0,0
266,0.19,0.581,0.229,0.296
266,0,1,0,0
267,0,1,0,0
267,0,0.682,0.318,0.4215
268,0.279,0.721,0,-0.8458
268,0,0,0,0
269,0,1,0,0
269,0,0.682,0.318,0.4215
270,0,1,0,0
270,0,0.682,0.318,0.4215
271,0,1,0,0
271,0,0.752,0.248,0.5106
271,0,0,0,0
272,0.063,0.652,0.285,0.7282
273,0.279,0.721,0,-0.8458
273,0,0,0,0
274,0,1,0,0
275,0,1,0,0
275,0,0.682,0.318,0.4215
276,0.279,0.721,0,-0.8458
276,0,0,0,0
277,0,1,0,0
277,0,0.737,0.263,0.6124
278,0.19,0.581,0.229,0.296
278,0,1,0,0
279,0,0.833,0.167,0.5574
280,0.19,0.581,0.229,0.296
280,0,1,0,0
281,0.19,0.581,0.229,0.296
281,0,1,0,0
282,0.19,0.581,0.229,0.296
282,0,1,0,0
283,0.19,0.581,0.229,0.296
283,0,1,0,0
284,0,0.879,0.121,0.4404
285,0,1,0,0
286,0,1,0,0
287,0.19,0.581,0.229,0.296
287,0,1,0,0
288,0,1,0,0
288,0,0.752,0.248,0.5106
288,0,0,0,0
289,0,1,0,0
289,0,0.752,0.248,0.5106
289,0,0,0,0
290,0,1,0,0
291,0,1,0,0
291,0,0.752,0.248,0.5106
291,0,0,0,0
292,0.279,0.721,0,-0.8458
292,0,0,0,0
293,0.382,0.618,0,-0.6759
293,0.225,0.583,0.192,-0.1027
294,0.279,0.721,0,-0.8458
294,0,0,0,0
295,0,1,0,0
295,0,0.752,0.248,0.5106
295,0,0,0,0
296,0,1,0,0
296,0,0.752,0.248,0.5106
296,0,0,0,0
297,0.279,0.721,0,-0.8458
297,0,0,0,0
298,0,0.84,0.16,0.6369
299,0,1,0,0
299,0,0.752,0.248,0.5106
299,0,0,0,0
300,0.156,0.844,0,-0.3412
300,0.375,0.625,0,-0.0516
301,0,1,0,0
302,0.434,0.566,0,-0.4717
302,0.183,0.817,0,-0.4003
302,0.791,0.209,0,-0.5848
302,0,1,0,0
303,0,0.876,0.124,0.5256
304,0.161,0.585,0.254,0.3328
305,0,1,0,0
305,0,0.752,0.248,0.5106
305,0,0,0,0
306,0,1,0,0
307,0.266,0.734,0,-0.5719
307,0,1,0,0
308,0,1,0,0
309,0,1,0,0
310,0,0.448,0.552,0.5719
310,0.221,0.517,0.262,0.2732
311,0.19,0.581,0.229,0.296
311,0,1,0,0
312,0.311,0.689,0,-0.8611
312,0,0.455,0.545,0.34
313,0,1,0,0
313,0,0.752,0.248,0.5106
313,0,0,0,0
314,0,0.83,0.17,0.6239
315,0.161,0.585,0.254,0.3328
316,0.19,0.581,0.229,0.296
316,0,1,0,0
317,0,1,0,0
317,0,0.752,0.248,0.5106
317,0,0,0,0
318,0,1,0,0
318,0,0.752,0.248,0.5106
318,0,0,0,0
319,0.183,0.817,0,-0.6908
319,0,1,0,0
320,0,1,0,0
321,0,1,0,0
321,0,0.752,0.248,0.5106
321,0,0,0,0
322,0.116,0.794,0.09,-0.1779
323,0.183,0.817,0,-0.6908
323,0,1,0,0
324,0.19,0.581,0.229,0.296
324,0,1,0,0
325,0,1,0,0
325,0,0.752,0.248,0.5106
325,0,0,0,0
326,0,1,0,0
326,0,0.752,0.248,0.5106
326,0,0,0,0
327,0,1,0,0
328,0.152,0.618,0.229,0.3869
328,0,1,0,0
329,0.151,0.616,0.233,0.296
329,0,0.885,0.115,0.0772
329,0,0.333,0.667,0.25
330,0,1,0,0
331,0.161,0.585,0.254,0.3328
332,0.303,0.697,0,-0.6377
332,0,0.633,0.367,0.4404
333,0.19,0.581,0.229,0.296
333,0,1,0,0
334,0.183,0.817,0,-0.6908
334,0,1,0,0
335,0.19,0.581,0.229,0.296
335,0,1,0,0
336,0.19,0.581,0.229,0.296
336,0,1,0,0
337,0.19,0.581,0.229,0.296
337,0,1,0,0
338,0,1,0,0
338,0.231,0.769,0,-0.4019
339,0,0.803,0.197,0.4926
340,0.19,0.581,0.229,0.296
340,0,1,0,0
341,0.19,0.581,0.229,0.296
341,0,1,0,0
342,0.084,0.797,0.12,0.2263
343,0.19,0.581,0.229,0.296
343,0,1,0,0
344,0.116,0.794,0.09,-0.1779
345,0.19,0.581,0.229,0.296
345,0,1,0,0
346,0.19,0.581,0.229,0.296
346,0,1,0,0
347,0.144,0.784,0.072,-0.2732
347,0.688,0.313,0,-0.296
347,0.296,0.704,0,-0.2732
348,0.19,0.581,0.229,0.296
348,0,1,0,0
349,0,0.828,0.172,0.4019
349,0,1,0,0
350,0.19,0.581,0.229,0.296
350,0,1,0,0
351,0,1,0,0
352,0,0.833,0.167,0.5574
353,0.19,0.581,0.229,0.296
353,0,1,0,0
354,0.313,0.687,0,-0.4767
354,0,1,0,0
355,0.24,0.712,0.049,-0.7269
356,0.178,0.729,0.093,-0.4753
356,0,1,0,0
357,0.19,0.581,0.229,0.296
357,0,1,0,0
358,0.131,0.706,0.163,0.1516
358,0,0.714,0.286,0.4939
359,0,1,0,0
359,0,0.518,0.482,0.4199
359,0.267,0.733,0,-0.3717
360,0.19,0.581,0.229,0.296
360,0,1,0,0
361,0,0.448,0.552,0.5719
361,0.221,0.517,0.262,0.2732
362,0,0.213,0.787,0.5719
362,0.199,0.565,0.236,0.2732
363,0,1,0,0
364,0.19,0.581,0.229,0.296
364,0,1,0,0
365,0,1,0,0
365,0,0.752,0.248,0.5106
365,0,0,0,0
366,0.19,0.581,0.229,0.296
366,0,1,0,0
367,0.19,0.581,0.229,0.296
367,0,1,0,0
368,0,0.775,0.225,0.4927
369,0,1,0,0
369,0,0.752,0.248,0.5106
369,0,0,0,0
370,0,1,0,0
370,0,0.633,0.367,0.8192
371,0.071,0.757,0.171,0.5023
371,0,1,0,0
372,0,0.7,0.3,0.8402
373,0.134,0.645,0.221,0.2263
373,0,0.459,0.541,0.5473
374,0.183,0.817,0,-0.6908
374,0,1,0,0
375,0,1,0,0
375,0,0.752,0.248,0.5106
375,0,0,0,0
376,0.104,0.896,0,-0.296
377,0.058,0.801,0.14,0.5023
378,0.183,0.817,0,-0.6908
378,0,1,0,0
379,0.124,0.876,0,-0.5267
380,0,1,0,0
381,0.183,0.817,0,-0.6908
381,0,1,0,0
382,0,1,0,0
383,0.252,0.748,0,-0.4019
383,0.146,0.666,0.189,0.1955
384,0,0.7,0.3,0.8402
385,0,1,0,0
385,0,0.5,0.5,0.6124
386,0,1,0,0
387,0,1,0,0
388,0,1,0,0
388,0,0.752,0.248,0.5106
388,0,0,0,0
389,0,1,0,0
390,0,1,0,0
390,0.254,0.746,0,-0.5267
391,0,1,0,0
392,0.19,0.581,0.229,0.296
392,0,1,0,0
393,0.19,0.581,0.229,0.296
393,0,1,0,0
394,0.185,0.815,0,-0.5267
395,0.116,0.794,0.09,-0.1779
396,0.183,0.817,0,-0.6908
396,0,1,0,0
397,0,0.797,0.203,0.6551
398,0,0.797,0.203,0.6551
399,0,1,0,0
400,0.19,0.581,0.229,0.296
400,0,1,0,0
401,0.183,0.817,0,-0.6908
401,0,1,0,0
402,0.19,0.581,0.229,0.296
402,0,1,0,0
403,0.178,0.822,0,-0.3818
403,0,1,0,0
404,0.19,0.581,0.229,0.296
404,0,1,0,0
405,0.19,0.581,0.229,0.296
405,0,1,0,0
406,0.116,0.794,0.09,-0.1779
407,0,1,0,0
408,0.19,0.581,0.229,0.296
408,0,1,0,0
409,0.116,0.794,0.09,-0.1779
410,0.19,0.581,0.229,0.296
410,0,1,0,0
411,0.19,0.581,0.229,0.296
411,0,1,0,0
412,0.215,0.785,0,-0.5667
413,0.19,0.581,0.229,0.296
413,0,1,0,0
414,0.19,0.581,0.229,0.296
414,0,1,0,0
415,0.19,0.581,0.229,0.296
415,0,1,0,0
416,0.19,0.581,0.229,0.296
416,0,1,0,0
417,0.152,0.798,0.049,-0.5719
418,0.126,0.686,0.189,0.2732
418,0,0.633,0.367,0.4404
419,0.116,0.794,0.09,-0.1779
420,0,1,0,0
421,0.19,0.581,0.229,0.296
421,0,1,0,0
422,0.1,0.692,0.208,0.4215
423,0.19,0.581,0.229,0.296
423,0,1,0,0
424,0,0.743,0.257,0.6369
424,0,0.566,0.434,0.3182
425,0.183,0.817,0,-0.6908
425,0,1,0,0
426,0.183,0.817,0,-0.6908
426,0,1,0,0
427,0.116,0.794,0.09,-0.1779
428,0.19,0.581,0.229,0.296
428,0,1,0,0
429,0.19,0.581,0.229,0.296
429,0,1,0,0
430,0.116,0.794,0.09,-0.1779
431,0.13,0.87,0,-0.34
432,0.19,0.581,0.229,0.296
432,0,1,0,0
433,0.116,0.794,0.09,-0.1779
434,0.19,0.581,0.229,0.296
434,0,1,0,0
435,0.19,0.581,0.229,0.296
435,0,1,0,0
436,0.116,0.794,0.09,-0.1779
437,0.19,0.581,0.229,0.296
437,0,1,0,0
438,0.19,0.581,0.229,0.296
438,0,1,0,0
439,0,1,0,0
440,0.19,0.581,0.229,0.296
440,0,1,0,0
441,0.183,0.817,0,-0.6908
441,0,1,0,0
442,0.183,0.817,0,-0.6908
442,0,1,0,0
443,0.19,0.581,0.229,0.296
443,0,1,0,0
444,0.116,0.794,0.09,-0.1779
445,0.183,0.817,0,-0.6908
445,0,1,0,0
446,0.116,0.794,0.09,-0.1779
447,0.19,0.581,0.229,0.296
447,0,1,0,0
448,0.183,0.817,0,-0.6908
448,0,1,0,0
449,0,0.818,0.182,0.5972
450,0.19,0.581,0.229,0.296
450,0,1,0,0
451,0.161,0.585,0.254,0.3328
452,0.19,0.581,0.229,0.296
452,0,1,0,0
453,0.116,0.794,0.09,-0.1779
454,0.346,0.654,0,-0.5719
454,0.326,0.674,0,-0.5945
454,0,1,0,0
455,0.19,0.581,0.229,0.296
455,0,1,0,0
456,0,1,0,0
457,0,1,0,0
458,0,1,0,0
459,0,0.743,0.257,0.6369
459,0,0.566,0.434,0.3182
460,0.152,0.798,0.049,-0.5719
461,0,0.743,0.257,0.6369
461,0,0.566,0.434,0.3182
462,0.132,0.755,0.113,-0.1027
463,0.203,0.606,0.191,-0.1027
464,0.165,0.708,0.127,-0.2023
465,0.337,0.435,0.228,-0.25
465,0,1,0,0
465,0,0.213,0.787,0.5719
466,0.116,0.794,0.09,-0.1779
467,0.19,0.581,0.229,0.296
467,0,1,0,0
468,0.116,0.794,0.09,-0.1779
469,0.19,0.581,0.229,0.296
469,0,1,0,0
470,0.19,0.581,0.229,0.296
470,0,1,0,0
471,0.19,0.581,0.229,0.296
471,0,1,0,0
472,0,1,0,0
472,0.221,0.653,0.126,-0.4404
473,0,0.823,0.177,0.4215
474,0,1,0,0
474,0,0.748,0.252,0.4648
475,0.142,0.645,0.213,0.2732
475,0,0.707,0.293,0.4404
476,0.19,0.581,0.229,0.296
476,0,1,0,0
477,0,1,0,0
477,0,0.805,0.195,0.5267
478,0,1,0,0
478,0,0.548,0.452,0.5106
479,0,1,0,0
480,0.19,0.581,0.229,0.296
480,0,1,0,0
481,0.259,0.688,0.053,-0.7269
482,0,1,0,0
483,0,0.833,0.167,0.5574
484,0.19,0.581,0.229,0.296
484,0,1,0,0
485,0.152,0.798,0.049,-0.5719
486,0.19,0.581,0.229,0.296
486,0,1,0,0
487,0.19,0.581,0.229,0.296
487,0,1,0,0
488,0.183,0.817,0,-0.6908
488,0,1,0,0
489,0,1,0,0
490,0.215,0.785,0,-0.2942
490,0,0,0,0
491,0,1,0,0
492,0,1,0,0
493,0.19,0.581,0.229,0.296
493,0,1,0,0
494,0.19,0.581,0.229,0.296
494,0,1,0,0
495,0.19,0.581,0.229,0.296
495,0,1,0,0
496,0.19,0.581,0.229,0.296
496,0,1,0,0
497,0.049,0.849,0.101,0.3134
498,0,1,0,0
499,0.19,0.581,0.229,0.296
499,0,1,0,0
500,0.299,0.701,0,-0.5719
500,0,1,0,0
501,0.19,0.581,0.229,0.296
501,0,1,0,0
502,0.19,0.581,0.229,0.296
502,0,1,0,0
503,0,1,0,0
503,0.688,0.313,0,-0.296
504,0.19,0.581,0.229,0.296
504,0,1,0,0
505,0.19,0.581,0.229,0.296
505,0,1,0,0
506,0.168,0.765,0.067,-0.5789
507,0.19,0.581,0.229,0.296
507,0,1,0,0
508,0.19,0.581,0.229,0.296
508,0,1,0,0
509,0.19,0.581,0.229,0.296
509,0,1,0,0
510,0.19,0.581,0.229,0.296
510,0,1,0,0
511,0.19,0.581,0.229,0.296
511,0,1,0,0
512,0.345,0.655,0,-0.6435
512,0,0.568,0.432,0.4215
512,0,1,0,0
513,0.19,0.581,0.229,0.296
513,0,1,0,0
514,0.19,0.581,0.229,0.296
514,0,1,0,0
515,0,0.806,0.194,0.481
515,0,1,0,0
516,0.19,0.581,0.229,0.296
516,0,1,0,0
517,0.086,0.914,0,-0.0572
518,0.19,0.581,0.229,0.296
518,0,1,0,0
519,0.208,0.693,0.099,-0.4588
520,0.19,0.581,0.229,0.296
520,0,1,0,0
521,0.19,0.581,0.229,0.296
521,0,1,0,0
522,0,0.787,0.213,0.5859
522,0,1,0,0
523,0.19,0.581,0.229,0.296
523,0,1,0,0
524,0.194,0.632,0.174,-0.1007
524,0.355,0.645,0,-0.296
525,0.384,0.616,0,-0.3595
525,0,1,0,0
526,0.19,0.581,0.229,0.296
526,0,1,0,0
527,0.19,0.581,0.229,0.296
527,0,1,0,0
528,0.19,0.581,0.229,0.296
528,0,1,0,0
529,0.36,0.64,0,-0.5423
530,0.098,0.802,0.1,0.2631
531,0.292,0.708,0,-0.792
532,0,1,0,0
532,0.131,0.869,0,-0.2755
533,0.183,0.817,0,-0.6908
533,0,1,0,0
534,0.19,0.581,0.229,0.296
534,0,1,0,0
535,0.345,0.655,0,-0.6435
535,0,0.568,0.432,0.4215
535,0,1,0,0
536,0.345,0.655,0,-0.6435
536,0,0.568,0.432,0.4215
536,0,1,0,0
537,0.19,0.581,0.229,0.296
