sn,id,name,FinalCounty,location
331,3247965726, denlusk13 ,, 
332,1539063318, JudyYount ,, 
333,3310158301, SOS_1313 ,, 
334,1546678166, SSNjl ,, St George Ut
335,4822536123, Trump4Pres0225 ,, Southeast USA
336,4798701630, PaulaPaulacamp ,, 
337,3968544013, karen_lamoure ,, California
338,846953653, donnasgame ,, Tennessee USA
339,240814961, catsdailytruth1 ,, GOPHaveNoRights2MYPrivateParts
340,3131156139, granisnark12 ,, Snarkville
341,3927572774, hale4jesus ,, 
342,3408529580, mflew2 ,, Texas USA
343,3353307131, ladybella1111 ,, Pennsylvania USA
344,790635542, davysgripur ,, 
345,907346136, Jentlegin ,, A nice cozy Pro-Trump corner :)
346,927071516, Defund_DC ,, Exceptional USA
347,129235890, Lrihendry ,, 
348,32861990, rth1065 ,, 
349,1449729692, Tcwater7292Joan ,, Florida
350,2651813438, TalkCritic ,, East of Eden
351,4503215594, MegFord7 ,, 
352,3282973915, MedianPolitics ,, 
353,354914789, cfgasenna ,, 
354,570969690, orotribe ,, Rancho Cucamonga CA
355,197872494, OneTonTurtle ,, Sacramento California
356,917626896, histochic71 ,, Ohio USA
357,4827698474, wendyfarrier1 ,, Globe AZ
358,588497903, percydavid221 ,, 
359,2322980888, handlebar1459 ,, USA
360,145987317, DaddyLou13 ,, texasruburban Dallas
361,384005220, woitekj ,, 
362,1282414117, que37 ,, San Diego CA
363,7.13E+17, pegcamp78 ,, Land of the Giants.
364,7.02E+17, Bakehouse2016 ,, 
365,1282414117, que37 ,, San Diego CA
366,91237627, rlockrocks ,, Raleigh NC
367,296985227, Wackywoman50 ,, Somewhere in Florida
368,339194362, royparrish ,,  south
369,4656972496, AUkeibro ,, Kentucky USA
370,16503982, Bolling ,, worldwide
371,115941509, alexvtunzelmann ,, London
372,1049454625, BrennaKellyNews ,, San Diego CA - Bangor ME
373,60767749, Rocky1542 ,, North Dakota
374,3675474973, olyspeakvictory ,, AZ
375,4443696733, Mercedes2077112 ,, Pennsylvania USA
